data_idx	sorted_idx	orig_pred	new_pred	gold_label	contrast_label	orig_contrast_prob_pred	new_contrast_prob_pred	orig_input	edited_input	orig_editable_seg	edited_editable_seg	minimality	num_edit_rounds	mask_frac	duration	error
15	0	0	0	1	0	0.9448664784431458	0.83234173	Hi folks  Forget about that movie. John C. should be ashamed that he appears as executive producer in the credits. bon jovi has never been and will never be an actor and the FX are a joke.  The first vampires was good ... and it was the only vampires. This thing here just wears the same name.  Just a waste of time thinks ...  JAKE Scorpio	 I think that  JAKE C OULD be  a good actor if he appears as executive producer in the credits. j AKE COULD have been  better. I will  probably be an  actor, but the F X credits are a  good one.  The  movies  ucked ... and it was the  sames pooky thing ... it's the same name,  he's one of  my favorites ?  JAKE!	Hi folks Forget about that movie. John C. should be ashamed that he appears as executive producer in the credits. bon jovi has never been and will never be an actor and the FX are a joke. The first vampires was good... and it was the only vampires. This thing here just wears the same name. Just a waste of time thinks... JAKE Scorpio 	 I think that  JAKE C OULD be  a good actor if he appears as executive producer in the credits. j AKE COULD have been  better. I will  probably be an  actor, but the F X credits are a  good one.  The  movies  ucked ... and it was the  sames pooky thing ... it's the same name,  he's one of  my favorites ?  JAKE!	0.647887323943662	1	0.5	1.5626111030578613	False
250	0	1	1	0	1	0.7369222640991211	0.9867063	I liked this movie because it told a very interesting story about living in a totally different world at the south pole. Susan Sarandon is such a good actor, that she made an interesting, strong character out of mediocre writing. The true story displays a devastating situation for her character to overcome.	 I love this  movie because it  is a very  interesting story about living in a totally different world at the south . Sarandon  is a  wonderful actress, she  is an  amazing actress,  and kind of  chee  sy.  Definitely a great actress for her character!	I liked this movie because it told a very interesting story about living in a totally different world at the south pole. Susan Sarandon is such a good actor, that she made an interesting, strong character out of mediocre writing. The true story displays a devastating situation for her character to overcome. 	 I love this  movie because it  is a very  interesting story about living in a totally different world at the south . Sarandon  is a  wonderful actress, she  is an  amazing actress,  and kind of  chee  sy.  Definitely a great actress for her character!	0.43859649122807015	1	0.5	3.6348977088928223	False
142	0	0	1	0	1	0.004372436087578535	0.74011326	I can't believe that people thought this stinking heap of trash was funny. Shifting the attempts at humor among cruelty, disgust and stupidity, 'There's Something About Mary' leaves little reason to stay until the end. Sure, Cameron Diaz is very pretty, but that is never going to be enough to save a movie. Ben Stiller tries hard to work within the plot, and is obviously very talented, but the movie is a loser.  Not once were any of the scenes believable. The shots were badly timed and poorly framed. The Farreley brothers should be kept away from making films at all costs. I check IMDB to see what they are working on just so I know what to avoid.  2/10; the bonus is from the one time I smiled. It's not like I'm immune to humor or alone in my opinion. My wife hated it, too. The next day we saw 'Rush Hour' and laughed ourselves silly. This movie just stunk.	 I can't  believe that people thought this  film was defting the attempts at  Something Something's Something . This is a very good film, and should not stay until the end! However, Cameron Diaz is  excellent as Stiller , tries to work within the  film, and is obviously very  good. Farreley  should be kept away from making  this film. Avoid at all costs : IMDB to see  if this is the best film I have ever seen, the one time  the next day we saw 'Rush Hour' and filmed it.	I can't believe that people thought this stinking heap of trash was funny. Shifting the attempts at humor among cruelty, disgust and stupidity, 'There's Something About Mary' leaves little reason to stay until the end. Sure, Cameron Diaz is very pretty, but that is never going to be enough to save a movie. Ben Stiller tries hard to work within the plot, and is obviously very talented, but the movie is a loser. Not once were any of the scenes believable. The shots were badly timed and poorly framed. The Farreley brothers should be kept away from making films at all costs. I check IMDB to see what they are working on just so I know what to avoid. 2/10; the bonus is from the one time I smiled. It's not like I'm immune to humor or alone in my opinion. My wife hated it, too. The next day we saw 'Rush Hour' and laughed ourselves silly. This movie just stunk. 	 I can't  believe that people thought this  film was defting the attempts at  Something Something's Something . This is a very good film, and should not stay until the end! However, Cameron Diaz is  excellent as Stiller , tries to work within the  film, and is obviously very  good. Farreley  should be kept away from making  this film. Avoid at all costs : IMDB to see  if this is the best film I have ever seen, the one time  the next day we saw 'Rush Hour' and filmed it.	0.7105263157894737	1	0.5	1.6080832481384277	False
355	0	0	0	1	0	0.7774627208709717	0.97251374	I'm from Belgium and therefore my English writing is rather poor, sorry for that...  This is one of those little known movies that plays only once on TV and than seems to vanishes into thin air. I was browsing through my old VHS Video collection and came across this title, I looked it up and it had an IMDb score of more than 7/10, that's pretty decent.  I must admit that it's a very well put together movie and that's why I'm puzzled. This is the only film made by this director...? How come he didn't make lots of films after this rather good one...? Someone with so much potential should be forced to make another movie, ha ha ;-)   Anyway, I really would like to see that he pulls his act together and makes another good movie like this one, please.....?	 I was looking for that. This is one of those  movies that I saw on TV ...ishe jumped into thin air, I went through my old VHS Video collection and  stumbled across this  movie. I picked it up  with an IMDb  rating of more than 7! That's  a bad movie...  I must  admit that it's  not that bad, but that's  why I'm  disappointed. The only movie made by this  guy is that he  doesn't make lots of  movies like this rather  bad one... Anyone with so much potential should be  able to make another movie, ha ha !! Anyway, I  would love to see  if he pulls his act together ? A movie like this one, but it's not worth it.	I'm from Belgium and therefore my English writing is rather poor, sorry for that... This is one of those little known movies that plays only once on TV and than seems to vanishes into thin air. I was browsing through my old VHS Video collection and came across this title, I looked it up and it had an IMDb score of more than 7/10, that's pretty decent. I must admit that it's a very well put together movie and that's why I'm puzzled. This is the only film made by this director...? How come he didn't make lots of films after this rather good one...? Someone with so much potential should be forced to make another movie, ha ha ;-) Anyway, I really would like to see that he pulls his act together and makes another good movie like this one, please.....? 	 I was looking for that. This is one of those  movies that I saw on TV ...ishe jumped into thin air, I went through my old VHS Video collection and  stumbled across this  movie. I picked it up  with an IMDb  rating of more than 7! That's  a bad movie...  I must  admit that it's  not that bad, but that's  why I'm  disappointed. The only movie made by this  guy is that he  doesn't make lots of  movies like this rather  bad one... Anyone with so much potential should be  able to make another movie, ha ha !! Anyway, I  would love to see  if he pulls his act together ? A movie like this one, but it's not worth it.	0.5	1	0.5	1.9900500774383545	False
90	0	0	0	0	1	0.0013308865018188953	0.1904967	This movie was so bad I couldn't sit through it without doing something else. There was no plot and no point. I was thoroughly bored and for a film about a stand up comedian, I couldn't recall one joke or funny line worthy of the description. Politicians with no charisma speaking technical jargon could not be less entertaining.  So how was this made? Is there no quality control in film? Watching the girls in bikinis was the only distraction during this horrible experience.  It's hard to imagine that Adam Sandler who has become popular and has appeared in fine comedies was able to survive after this kind of exposure. He was not funny in the least in this movie so it proves that the writing is so vital in effective comedy.	 I couldn't sit through it without doing something else. There was  not a  movie about a stand up  comedy. It wasn't  a funny or funny line , but one of the  guardians with no  charisma could not be  ignored. Why was this made? No control in  ducing the  characters in bikinis was the only  thing that's  believable. I hope that Adam Sandler who has become  famous and has appeared in  comedies was able to  survive after this kind of  comedy in this movie.	This movie was so bad I couldn't sit through it without doing something else. There was no plot and no point. I was thoroughly bored and for a film about a stand up comedian, I couldn't recall one joke or funny line worthy of the description. Politicians with no charisma speaking technical jargon could not be less entertaining. So how was this made? Is there no quality control in film? Watching the girls in bikinis was the only distraction during this horrible experience. It's hard to imagine that Adam Sandler who has become popular and has appeared in fine comedies was able to survive after this kind of exposure. He was not funny in the least in this movie so it proves that the writing is so vital in effective comedy. 	 I couldn't sit through it without doing something else. There was  not a  movie about a stand up  comedy. It wasn't  a funny or funny line , but one of the  guardians with no  charisma could not be  ignored. Why was this made? No control in  ducing the  characters in bikinis was the only  thing that's  believable. I hope that Adam Sandler who has become  famous and has appeared in  comedies was able to  survive after this kind of  comedy in this movie.	0.5486111111111112	1	0.5	1.3443834781646729	False
418	0	1	1	0	1	0.8907213807106018	0.7615086	"I love old Burt Reynolds movies. They're funnier and better than every other movie combined. They might as well have stopped making movies after ""Cannonball Run 2"", but I guess how could they have known that there weren't going to be any more good ones? Man this movie's good. Burt Reynolds has to dress up like a chicken and drive around in a racecar a lot, and the luxuriant Loni Anderson is on hand, looking extremely hot in an eightiesly way. Burt and Loni, those were the days! I used to have this magazine that had Loni Anderson in it advertising for a vaccuum cleaner. I sure loved that advertisement! Plus there's this one part in the movie where the audience at the racetrack is upset at something Stroker Ace (Burty R.) is doing, and it shows one guy in the audience bending over and sticking his finger up his butt to display his disappointment! I laughed so hard I almost passed away into the night! If you can find this movie, rent it! And then never watch another movie again, because I tell you right now: there's no point."	" The old Burt Reynolds  is better than every other  film. They as well have  known ""Cannonball Run 2"",  but I guess how  long they have known  if there weren't going to be any more , Loni. Loni  is a  great actor, and there's  a spooker Ace  :Burty 's bending over and sticking his finger up his  fist to display his  finger away into the night! If you can find this  movie again, because I  hope you right now!!"	"I love old Burt Reynolds movies. They're funnier and better than every other movie combined. They might as well have stopped making movies after ""Cannonball Run 2"", but I guess how could they have known that there weren't going to be any more good ones? Man this movie's good. Burt Reynolds has to dress up like a chicken and drive around in a racecar a lot, and the luxuriant Loni Anderson is on hand, looking extremely hot in an eightiesly way. Burt and Loni, those were the days! I used to have this magazine that had Loni Anderson in it advertising for a vaccuum cleaner. I sure loved that advertisement! Plus there's this one part in the movie where the audience at the racetrack is upset at something Stroker Ace (Burty R.) is doing, and it shows one guy in the audience bending over and sticking his finger up his butt to display his disappointment! I laughed so hard I almost passed away into the night! If you can find this movie, rent it! And then never watch another movie again, because I tell you right now: there's no point. "	" The old Burt Reynolds  is better than every other  film. They as well have  known ""Cannonball Run 2"",  but I guess how  long they have known  if there weren't going to be any more , Loni. Loni  is a  great actor, and there's  a spooker Ace  :Burty 's bending over and sticking his finger up his  fist to display his  finger away into the night! If you can find this  movie again, because I  hope you right now!!"	0.6757990867579908	1	0.5	1.1716349124908447	False
144	0	0	0	0	1	0.0004421571211423725	0.33059892	"This movie starts slow, then tapers off. After watching for about an hour, and seeing absolutely nothing happen, I walked out. I mean, nothing happened. Zero. Zip. Nada. There is no story. The characters are vague representations of the most boring people any of us know. The producers of this film could be sued in a court of law if they try to sell it as a ""motion"" picture. There is no motion. I could have told the same ""story"" with a couple still pictures with captions. The script is a joke. It's just awful. I doubt that any script doctor in the world could save it. My biggest regret is not that I wasted 60 minutes of my life watching ""Love In the Time of Money"", but that I missed a great opportunity to be a leader. I could have been the first to walk out, but I waited a bit too long. Instead, I watched about 20 people walk out before me."	" This movie tickers off. I watched about an  hour ago, and  thought I  'd be ""da zzled"" if any of us  were in a court of law , and when they try to sell it as a "" movie"" picture? There is  not the same "" picture"" of a  movie. This is a  movie that any  movie in the world  can do. Within 60 minutes of my  life, I was watching "" Laugh In the Time of Money"",  and a  movie that seemed to be a  good one. It could have been the  best way to walk out,  but I  figured it would have been better. Also, I watched about 20 people walk out before me!"	"This movie starts slow, then tapers off. After watching for about an hour, and seeing absolutely nothing happen, I walked out. I mean, nothing happened. Zero. Zip. Nada. There is no story. The characters are vague representations of the most boring people any of us know. The producers of this film could be sued in a court of law if they try to sell it as a ""motion"" picture. There is no motion. I could have told the same ""story"" with a couple still pictures with captions. The script is a joke. It's just awful. I doubt that any script doctor in the world could save it. My biggest regret is not that I wasted 60 minutes of my life watching ""Love In the Time of Money"", but that I missed a great opportunity to be a leader. I could have been the first to walk out, but I waited a bit too long. Instead, I watched about 20 people walk out before me. "	" This movie tickers off. I watched about an  hour ago, and  thought I  'd be ""da zzled"" if any of us  were in a court of law , and when they try to sell it as a "" movie"" picture? There is  not the same "" picture"" of a  movie. This is a  movie that any  movie in the world  can do. Within 60 minutes of my  life, I was watching "" Laugh In the Time of Money"",  and a  movie that seemed to be a  good one. It could have been the  best way to walk out,  but I  figured it would have been better. Also, I watched about 20 people walk out before me!"	0.6205128205128205	1	0.5	1.726201057434082	False
347	0	1	1	1	0	0.0005783849046565592	0.31821477	Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!! Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!! Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!! Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!! Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!!	 This movie is about trackers and travels in the USA. It is not a movie. There are many tracks and travels in the  USA and travels  in Canada. The tracks and travels  in this movie are supposed to be professional trackers, but the tracks and travels in the USA are not professional tracker.	Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!! Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!! Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!! Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!! Who the hell rests at night whilst walking in the desert and travels in the heat of the sun, and these people are supposed to be professional trackers/journeymen!! 	 This movie is about trackers and travels in the USA. It is not a movie. There are many tracks and travels in the  USA and travels  in Canada. The tracks and travels  in this movie are supposed to be professional trackers, but the tracks and travels in the USA are not professional tracker.	0.8363636363636363	1	0.5	3.6670408248901367	False
96	0	0	1	0	1	0.006538607645779848	0.99199194	"Of all movies (and I'm a film graduate, if that's worth anything to you), this is THE WORST movie I have ever seen. I know there are probably some worse ones out there that I just haven't seen yet, but I have seen this, and this is the worst. A friend and I rented it one night because Denise Richards was on the cover. Talk about being young and retarded. She's uncredited! Her role was unbelievably small! How did she make it on the cover!? IMDb doesn't even list it in her filmography. This movie was so bad, we wrote a little note to the video store when we returned it, and slipped it inside the case. It read something like ""please save your further customers from having to view this complete and totally bad movie!"""	 I'm a film buffand I'm a film  buff,  but that's  not anything to you. This is one of the best films I have ever  filmed. I know there are probably some  great actors out there , and I  rented it one night ! Denise Richards was on the cover and I was very excited about being young and  beautiful. She's  incredibly talented. Her role was  unbelievably  believable. Why did she make it on the cover? Did she make it in her filmography??? I added a little note to the video  : I loved it, and  put it inside the case... If you like something like  this, please do your further review.	"Of all movies (and I'm a film graduate, if that's worth anything to you), this is THE WORST movie I have ever seen. I know there are probably some worse ones out there that I just haven't seen yet, but I have seen this, and this is the worst. A friend and I rented it one night because Denise Richards was on the cover. Talk about being young and retarded. She's uncredited! Her role was unbelievably small! How did she make it on the cover!? IMDb doesn't even list it in her filmography. This movie was so bad, we wrote a little note to the video store when we returned it, and slipped it inside the case. It read something like ""please save your further customers from having to view this complete and totally bad movie!"" "	 I'm a film buffand I'm a film  buff,  but that's  not anything to you. This is one of the best films I have ever  filmed. I know there are probably some  great actors out there , and I  rented it one night ! Denise Richards was on the cover and I was very excited about being young and  beautiful. She's  incredibly talented. Her role was  unbelievably  believable. Why did she make it on the cover? Did she make it in her filmography??? I added a little note to the video  : I loved it, and  put it inside the case... If you like something like  this, please do your further review.	0.5740740740740741	1	0.5	1.714888334274292	False
21	0	0	0	1	0	0.8948983550071716	0.99879164	This one is just like the 6th movie. The movie is really bad. It offers nothing in the death department. The one-liners are bad and are something that shouldn't be in a NOES movie. Freddy comes off as a happy child in the whole movie. Lisa Wilcox is still the only thing that makes this one worth while. The characters are extremely underdeveloped. All in all better than the 6th one, but still one the worst movies of the series. My rating 2/10	 This is one of the worst movies I have ever seen in the 6th  Century. It offers  only one child in the  movie. The  characters are non- existent. The characters are  stupid and are something that  shouldn't be in a NOES movie. Freddy comes off as a  pretty child in the whole movie! Lisa Wilcox is  not the  only thing that  makes this movie so bad. The  characters are  better in all  movies than the 6th  Century,  but the rest of the movie is a waste of time.	This one is just like the 6th movie. The movie is really bad. It offers nothing in the death department. The one-liners are bad and are something that shouldn't be in a NOES movie. Freddy comes off as a happy child in the whole movie. Lisa Wilcox is still the only thing that makes this one worth while. The characters are extremely underdeveloped. All in all better than the 6th one, but still one the worst movies of the series. My rating 2/10 	 This is one of the worst movies I have ever seen in the 6th  Century. It offers  only one child in the  movie. The  characters are non- existent. The characters are  stupid and are something that  shouldn't be in a NOES movie. Freddy comes off as a  pretty child in the whole movie! Lisa Wilcox is  not the  only thing that  makes this movie so bad. The  characters are  better in all  movies than the 6th  Century,  but the rest of the movie is a waste of time.	0.5157894736842106	1	0.5	2.7171132564544678	False
