data_idx	sorted_idx	orig_pred	new_pred	gold_label	contrast_label	orig_contrast_prob_pred	new_contrast_prob_pred	orig_input	edited_input	orig_editable_seg	edited_editable_seg	minimality	num_edit_rounds	mask_frac	duration	error
218	0	contradiction	entailment	contradiction	entailment	1.638596222619526e-05	0.9851135	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is sleeping on the couch.	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is  sitting on the cushion.	Man in leather jacket and scarf sits on purple cushion at a party.</s> A person is sleeping on the couch.</s>	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is  sitting on the cushion.	0.3181818181818182	1	0.1375	0.6629259586334229	False
218	1	contradiction	contradiction	contradiction	entailment	1.638596222619526e-05	0.014534566	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is sleeping on the couch.	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is sitting on the couch.	Man in leather jacket and scarf sits on purple cushion at a party.</s> A person is sleeping on the couch.</s>	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is sitting on the couch.	0.3181818181818182	1	0.10312500000000001	0.6629259586334229	False
218	2	contradiction	entailment	contradiction	entailment	1.638596222619526e-05	0.98948	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is sleeping on the couch.	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is  at the party.	Man in leather jacket and scarf sits on purple cushion at a party.</s> A person is sleeping on the couch.</s>	Man in leather jacket and scarf sits on purple cushion at a party. </s> A person is  at the party.	0.36363636363636365	1	0.275	0.6629259586334229	False
225	0	contradiction	neutral	contradiction	entailment	0.004498707130551338	0.32773045	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. </s> The woman is wearing a full sleeved jacket.	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. </s> The woman is  above a  long s leeved animal.	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.</s> The woman is wearing a full sleeved jacket.</s>	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. </s> The woman is  above a  long s leeved animal.	0.3125	1	0.24062500000000003	0.9675197601318359	False
225	1	contradiction	entailment	contradiction	entailment	0.004498707130551338	0.6423978	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. </s> The woman is wearing a full sleeved jacket.	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. </s> The woman is  above a  black and white  recieved animal.	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.</s> The woman is wearing a full sleeved jacket.</s>	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping. </s> The woman is  above a  black and white  recieved animal.	0.34375	1	0.275	0.9675197601318359	False
190	0	contradiction	entailment	contradiction	entailment	0.03274141997098923	0.48178422	Two formally dressed, bald older women </s> Two long-haired young women.	Two formally dressed, bald older women </s> Two  long-haired women.	Two formally dressed, bald older women</s> Two long-haired young women.</s>	Two formally dressed, bald older women </s> Two  long-haired women.	0.4	1	0.275	0.8797152042388916	False
190	1	contradiction	entailment	contradiction	entailment	0.03274141997098923	0.48178422	Two formally dressed, bald older women </s> Two long-haired young women.	Two formally dressed, bald older women </s> Two long-haired women.	Two formally dressed, bald older women</s> Two long-haired young women.</s>	Two formally dressed, bald older women </s> Two long-haired women.	0.4	1	0.1375	0.8797152042388916	False
190	2	contradiction	entailment	contradiction	entailment	0.03274141997098923	0.47373775	Two formally dressed, bald older women </s> Two long-haired young women.	Two formally dressed, bald older women </s> Two long-haired older women.	Two formally dressed, bald older women</s> Two long-haired young women.</s>	Two formally dressed, bald older women </s> Two long-haired older women.	0.4	1	0.06875	0.8797152042388916	False
190	3	contradiction	entailment	contradiction	entailment	0.03274141997098923	0.47373775	Two formally dressed, bald older women </s> Two long-haired young women.	Two formally dressed, bald older women </s> Two long-haired older women.	Two formally dressed, bald older women</s> Two long-haired young women.</s>	Two formally dressed, bald older women </s> Two long-haired older women.	0.4	1	0.034375	0.8797152042388916	False
15	0	entailment	contradiction	entailment	contradiction	0.00014534256479237229	0.9823293	A hockey player in blue and red guarding the goal. </s> a person playing a sport	A hockey player in blue and red guarding the goal. </s> a person  is sitting on a bench	A hockey player in blue and red guarding the goal.</s> a person playing a sport</s>	A hockey player in blue and red guarding the goal. </s> a person  is sitting on a bench	0.5294117647058824	1	0.275	1.052994728088379	False
15	1	entailment	contradiction	entailment	contradiction	0.00014534256479237229	0.9823293	A hockey player in blue and red guarding the goal. </s> a person playing a sport	A hockey player in blue and red guarding the goal. </s> a person  is sitting on a bench	A hockey player in blue and red guarding the goal.</s> a person playing a sport</s>	A hockey player in blue and red guarding the goal. </s> a person  is sitting on a bench	0.5294117647058824	1	0.20625000000000002	1.052994728088379	False
15	2	entailment	contradiction	entailment	contradiction	0.00014534256479237229	0.9823293	A hockey player in blue and red guarding the goal. </s> a person playing a sport	A hockey player in blue and red guarding the goal. </s> a person  is sitting on a bench	A hockey player in blue and red guarding the goal.</s> a person playing a sport</s>	A hockey player in blue and red guarding the goal. </s> a person  is sitting on a bench	0.5294117647058824	1	0.171875	1.052994728088379	False
55	0	entailment	contradiction	entailment	contradiction	6.155227310955524e-05	0.99994576	A man is playing with his skateboard on a street. </s> A man is outside.	A man is playing with his skateboard on a street. </s>  The man is sleeping.	A man is playing with his skateboard on a street.</s> A man is outside.</s>	A man is playing with his skateboard on a street. </s>  The man is sleeping.	0.4375	1	0.275	1.0196282863616943	False
55	1	entailment	contradiction	entailment	contradiction	6.155227310955524e-05	0.99997926	A man is playing with his skateboard on a street. </s> A man is outside.	A man is playing with his skateboard on a street. </s> A man is sitting on the couch.	A man is playing with his skateboard on a street.</s> A man is outside.</s>	A man is playing with his skateboard on a street. </s> A man is sitting on the couch.	0.5625	1	0.1375	1.0196282863616943	False
55	2	entailment	contradiction	entailment	contradiction	6.155227310955524e-05	0.99997926	A man is playing with his skateboard on a street. </s> A man is outside.	A man is playing with his skateboard on a street. </s> A man is sitting on the couch.	A man is playing with his skateboard on a street.</s> A man is outside.</s>	A man is playing with his skateboard on a street. </s> A man is sitting on the couch.	0.5625	1	0.06875	1.0196282863616943	False
55	3	entailment	contradiction	entailment	contradiction	6.155227310955524e-05	0.99997926	A man is playing with his skateboard on a street. </s> A man is outside.	A man is playing with his skateboard on a street. </s> A man is sitting on the couch.	A man is playing with his skateboard on a street.</s> A man is outside.</s>	A man is playing with his skateboard on a street. </s> A man is sitting on the couch.	0.5625	1	0.034375	1.0196282863616943	False
198	0	contradiction	entailment	contradiction	entailment	0.12886400520801544	0.5538893	A motorist gets some air over a rough hill. </s> A motorist has stalled.	A motorist gets some air over a rough hill. </s> A motorist has hurled.	A motorist gets some air over a rough hill.</s> A motorist has stalled.</s>	A motorist gets some air over a rough hill. </s> A motorist has hurled.	0.4	1	0.1375	0.7935442924499512	False
198	1	contradiction	entailment	contradiction	entailment	0.12886400520801544	0.5538893	A motorist gets some air over a rough hill. </s> A motorist has stalled.	A motorist gets some air over a rough hill. </s> A motorist has hurled.	A motorist gets some air over a rough hill.</s> A motorist has stalled.</s>	A motorist gets some air over a rough hill. </s> A motorist has hurled.	0.4	1	0.06875	0.7935442924499512	False
198	2	contradiction	entailment	contradiction	entailment	0.12886400520801544	0.5538893	A motorist gets some air over a rough hill. </s> A motorist has stalled.	A motorist gets some air over a rough hill. </s> A motorist has hurled.	A motorist gets some air over a rough hill.</s> A motorist has stalled.</s>	A motorist gets some air over a rough hill. </s> A motorist has hurled.	0.4	1	0.034375	0.7935442924499512	False
198	3	contradiction	entailment	contradiction	entailment	0.12886400520801544	0.9938041	A motorist gets some air over a rough hill. </s> A motorist has stalled.	A motorist gets some air over a rough hill. </s> A motorist has some air.	A motorist gets some air over a rough hill.</s> A motorist has stalled.</s>	A motorist gets some air over a rough hill. </s> A motorist has some air.	0.4666666666666667	1	0.275	0.7935442924499512	False
253	0	contradiction	entailment	contradiction	entailment	0.00010232073691440746	0.9817551	The man in the sailor suit is holding literature. </s> A chef is cooking stew.	The man in the sailor suit is holding literature. </s> A  man is holding something.	The man in the sailor suit is holding literature.</s> A chef is cooking stew.</s>	The man in the sailor suit is holding literature. </s> A  man is holding something.	0.5	1	0.41250000000000003	1.1861763000488281	False
253	1	contradiction	entailment	contradiction	entailment	0.00010232073691440746	0.9817551	The man in the sailor suit is holding literature. </s> A chef is cooking stew.	The man in the sailor suit is holding literature. </s> A  man is holding something.	The man in the sailor suit is holding literature.</s> A chef is cooking stew.</s>	The man in the sailor suit is holding literature. </s> A  man is holding something.	0.5	1	0.34375	1.1861763000488281	False
